,Location,2020,2021,2022,Income_per_Capita
2088,"Delaware, OH",80033.0,85075.0,88871.0,84659.66666666667
2089,"Erie, OH",53374.0,56803.0,58855.0,56344.0
2090,"Fairfield, OH",51542.0,54653.0,55015.0,53736.666666666664
2091,"Fayette, OH",44636.0,47680.0,47012.0,46442.666666666664
2092,"Franklin, OH",54352.0,59391.0,59473.0,57738.666666666664
2093,"Fulton, OH",49978.0,52939.0,52808.0,51908.333333333336
2094,"Gallia, OH",44453.0,45960.0,46079.0,45497.333333333336
2095,"Geauga, OH",72092.0,79771.0,83249.0,78370.66666666667
2096,"Greene, OH",55350.0,59860.0,61013.0,58741.0
2097,"Guernsey, OH",45785.0,48144.0,47686.0,47205.0
2098,"Hamilton, OH",63022.0,69556.0,71767.0,68115.0
2099,"Hancock, OH",55745.0,56429.0,56761.0,56311.666666666664
2100,"Hardin, OH",37099.0,40431.0,39938.0,39156.0
2101,"Harrison, OH",43042.0,45862.0,46168.0,45024.0
2102,"Henry, OH",48966.0,52631.0,52388.0,51328.333333333336
2103,"Highland, OH",40852.0,44521.0,44035.0,43136.0
2104,"Hocking, OH",43346.0,45611.0,45472.0,44809.666666666664
2105,"Holmes, OH",49487.0,54188.0,56133.0,53269.333333333336
2106,"Huron, OH",45315.0,48045.0,47635.0,46998.333333333336
2107,"Jackson, OH",40191.0,41896.0,41084.0,41057.0
2108,"Jefferson, OH",43026.0,45775.0,45490.0,44763.666666666664
2109,"Knox, OH",48455.0,51120.0,51107.0,50227.333333333336
2110,"Lake, OH",55040.0,58839.0,59749.0,57876.0
2111,"Lawrence, OH",43885.0,46958.0,47449.0,46097.333333333336
2112,"Licking, OH",51540.0,55252.0,55665.0,54152.333333333336
2113,"Logan, OH",45865.0,48897.0,48607.0,47789.666666666664
2114,"Lorain, OH",50943.0,54687.0,55441.0,53690.333333333336
2115,"Lucas, OH",50236.0,53287.0,53428.0,52317.0
2116,"Madison, OH",47773.0,50802.0,52295.0,50290.0
2117,"Mahoning, OH",47491.0,51229.0,51765.0,50161.666666666664
2118,"Marion, OH",40180.0,42753.0,42382.0,41771.666666666664
2119,"Medina, OH",60353.0,64011.0,65702.0,63355.333333333336
2120,"Meigs, OH",40609.0,42730.0,42061.0,41800.0
2121,"Mercer, OH",53785.0,59739.0,61832.0,58452.0
2122,"Miami, OH",51885.0,55632.0,56078.0,54531.666666666664
2123,"Monroe, OH",41810.0,43391.0,42173.0,42458.0
2124,"Montgomery, OH",51333.0,54574.0,55114.0,53673.666666666664
2125,"Morgan, OH",40077.0,43383.0,43106.0,42188.666666666664
2126,"Morrow, OH",45594.0,48606.0,47698.0,47299.333333333336
2127,"Muskingum, OH",46164.0,49176.0,49192.0,48177.333333333336
2128,"Noble, OH",30660.0,31971.0,31123.0,31251.333333333332
2129,"Ottawa, OH",57576.0,61874.0,62480.0,60643.333333333336
2130,"Paulding, OH",45594.0,48561.0,48624.0,47593.0
2131,"Perry, OH",43030.0,46322.0,45943.0,45098.333333333336
2132,"Pickaway, OH",46686.0,50919.0,50895.0,49500.0
2133,"Pike, OH",43204.0,45951.0,46346.0,45167.0
2134,"Portage, OH",48833.0,53508.0,53419.0,51920.0
2135,"Preble, OH",44657.0,48922.0,48644.0,47407.666666666664
2136,"Putnam, OH",54439.0,58913.0,59510.0,57620.666666666664
2137,"Richland, OH",42685.0,45205.0,44998.0,44296.0
2138,"Ross, OH",41674.0,45276.0,44711.0,43887.0
2139,"Sandusky, OH",45422.0,48885.0,48557.0,47621.333333333336
2140,"Scioto, OH",43624.0,45959.0,46319.0,45300.666666666664
2141,"Seneca, OH",44460.0,47926.0,47563.0,46649.666666666664
2142,"Shelby, OH",48999.0,52067.0,51955.0,51007.0
2143,"Stark, OH",48985.0,53027.0,53588.0,51866.666666666664
2144,"Summit, OH",56369.0,61057.0,62207.0,59877.666666666664
2145,"Trumbull, OH",43161.0,45780.0,45564.0,44835.0
2146,"Tuscarawas, OH",46002.0,50621.0,51879.0,49500.666666666664
2147,"Union, OH",62252.0,66880.0,69498.0,66210.0
2148,"Van Wert, OH",45784.0,49958.0,49563.0,48435.0
2149,"Vinton, OH",39276.0,40853.0,40536.0,40221.666666666664
2150,"Warren, OH",66255.0,70482.0,73592.0,70109.66666666667
2151,"Washington, OH",46708.0,50345.0,51016.0,49356.333333333336
2152,"Wayne, OH",48916.0,53125.0,53174.0,51738.333333333336
2153,"Williams, OH",44916.0,48791.0,48999.0,47568.666666666664
2154,"Wood, OH",51204.0,55314.0,56011.0,54176.333333333336
2155,"Wyandot, OH",50170.0,54769.0,55488.0,53475.666666666664
2156,"Adair, OK",35788.0,40275.0,41664.0,39242.333333333336
2157,"Alfalfa, OK",40934.0,45533.0,41918.0,42795.0
2158,"Atoka, OK",34422.0,36277.0,35823.0,35507.333333333336
2159,"Beaver, OK",58018.0,68300.0,65651.0,63989.666666666664
2160,"Beckham, OK",37295.0,39517.0,38722.0,38511.333333333336
2161,"Blaine, OK",44913.0,51333.0,50465.0,48903.666666666664
2162,"Bryan, OK",40728.0,44736.0,44456.0,43306.666666666664
2163,"Caddo, OK",41474.0,45515.0,44315.0,43768.0
2164,"Canadian, OK",48590.0,52397.0,53879.0,51622.0
2165,"Carter, OK",46290.0,50134.0,50492.0,48972.0
2166,"Cherokee, OK",38429.0,41871.0,41730.0,40676.666666666664
2167,"Choctaw, OK",37326.0,41068.0,39459.0,39284.333333333336
2168,"Cimarron, OK",64058.0,71759.0,71787.0,69201.33333333333
2169,"Cleveland, OK",47444.0,51166.0,51743.0,50117.666666666664
2170,"Coal, OK",40681.0,43400.0,42808.0,42296.333333333336
2171,"Comanche, OK",45564.0,48279.0,47704.0,47182.333333333336
2172,"Cotton, OK",48451.0,50941.0,48052.0,49148.0
2173,"Craig, OK",41100.0,43402.0,43647.0,42716.333333333336
2174,"Creek, OK",45104.0,48316.0,48223.0,47214.333333333336
2175,"Custer, OK",42845.0,47447.0,47387.0,45893.0
2176,"Delaware, OK",38206.0,42227.0,43684.0,41372.333333333336
2177,"Dewey, OK",51744.0,49183.0,50032.0,50319.666666666664
2178,"Ellis, OK",54313.0,58132.0,60331.0,57592.0
2179,"Garfield, OK",44544.0,49013.0,48872.0,47476.333333333336
2180,"Garvin, OK",47109.0,49826.0,49595.0,48843.333333333336
2181,"Grady, OK",44774.0,48189.0,48140.0,47034.333333333336
2182,"Grant, OK",53750.0,58958.0,49570.0,54092.666666666664
2183,"Greer, OK",33404.0,35233.0,34048.0,34228.333333333336
2184,"Harmon, OK",46180.0,50094.0,47775.0,48016.333333333336
2185,"Harper, OK",55270.0,60361.0,64863.0,60164.666666666664
2186,"Haskell, OK",38333.0,42905.0,44146.0,41794.666666666664
2187,"Hughes, OK",40693.0,49198.0,46820.0,45570.333333333336
2188,"Jackson, OK",45407.0,49245.0,48893.0,47848.333333333336
2189,"Jefferson, OK",40267.0,40166.0,40832.0,40421.666666666664
2190,"Johnston, OK",41626.0,44844.0,45453.0,43974.333333333336
2191,"Kay, OK",45376.0,48760.0,48422.0,47519.333333333336
2192,"Kingfisher, OK",61983.0,70770.0,71911.0,68221.33333333333
2193,"Kiowa, OK",42794.0,45629.0,44612.0,44345.0
2194,"Latimer, OK",37746.0,39758.0,39157.0,38887.0
2195,"Le Flore, OK",36610.0,40215.0,41452.0,39425.666666666664
2196,"Lincoln, OK",42441.0,46021.0,45402.0,44621.333333333336
2197,"Logan, OK",45482.0,48345.0,48476.0,47434.333333333336
2198,"Love, OK",41656.0,43816.0,43362.0,42944.666666666664
2199,"McClain, OK",49755.0,53986.0,56086.0,53275.666666666664
2200,"McCurtain, OK",38429.0,43249.0,43860.0,41846.0
2201,"McIntosh, OK",40525.0,42846.0,42837.0,42069.333333333336
