Location,2020,2021,2022
"Clinton, PA",45851,46713,45878
"Columbia, PA",47526,50403,49854
"Crawford, PA",45727,48478,47732
"Cumberland, PA",60871,64472,65105
"Dauphin, PA",54891,58362,57717
"Delaware, PA",70945,76589,78228
"Elk, PA",50253,50850,50208
"Erie, PA",50179,52048,51396
"Fayette, PA",46421,49601,48259
"Forest, PA",28022,28672,28009
"Franklin, PA",51296,55125,55212
"Fulton, PA",47687,49404,48013
"Greene, PA",47271,49233,49645
"Huntingdon, PA",43617,45915,45049
"Indiana, PA",44250,46832,45599
"Jefferson, PA",46457,48436,47629
"Juniata, PA",52142,56770,56651
"Lackawanna, PA",51659,54823,54607
"Lancaster, PA",57816,61775,63044
"Lawrence, PA",48169,51655,50674
"Lebanon, PA",52362,55937,56207
"Lehigh, PA",58875,62366,62879
"Luzerne, PA",48544,51638,50618
"Lycoming, PA",48046,50730,49869
"McKean, PA",47604,49211,48797
"Mercer, PA",45553,48579,47857
"Mifflin, PA",43457,46297,46121
"Monroe, PA",48872,51931,52643
"Montgomery, PA",86337,90513,93666
"Montour, PA",60469,64648,66122
"Northampton, PA",60074,62610,63828
"Northumberland, PA",45991,48053,47650
"Perry, PA",50775,54562,54026
"Philadelphia, PA",54887,57731,56764
"Pike, PA",53568,55706,57038
"Potter, PA",46835,50979,48379
"Schuylkill, PA",46399,49312,48634
"Snyder, PA",46804,51131,51750
"Somerset, PA",45706,48880,47622
"Sullivan, PA",52766,55929,56066
"Susquehanna, PA",51951,57016,58898
"Tioga, PA",43893,46432,45977
"Union, PA",48155,50578,51089
"Venango, PA",46659,49658,48663
"Warren, PA",46564,49258,49117
"Washington, PA",60909,66042,66276
"Wayne, PA",49683,53475,53076
"Westmoreland, PA",56226,59765,59493
"Wyoming, PA",52115,54394,54361
"York, PA",54395,57656,57321
"Bristol, RI",79886,86753,88954
"Kent, RI",62462,66746,67068
"Newport, RI",76435,82984,84484
"Providence, RI",51528,55384,54527
"Washington, RI",73351,79691,81104
"Abbeville, SC",38062,40219,39840
"Aiken, SC",47964,51458,51601
"Allendale, SC",40125,40888,40632
"Anderson, SC",43736,47164,47693
"Bamberg, SC",38277,40052,39991
"Barnwell, SC",38419,40096,39193
"Beaufort, SC",65026,70506,72142
"Berkeley, SC",45077,49582,50686
"Calhoun, SC",45637,50139,49648
"Charleston, SC",68698,73838,76546
"Cherokee, SC",36399,39073,38740
"Chester, SC",38523,41348,41411
"Chesterfield, SC",35858,39243,39008
"Clarendon, SC",41738,45667,45300
"Colleton, SC",38817,42253,42030
"Darlington, SC",43632,46986,47707
"Dillon, SC",35469,39685,39114
"Dorchester, SC",43292,46857,47775
"Edgefield, SC",45006,48960,49139
"Fairfield, SC",44865,49145,50074
"Florence, SC",46728,51183,52035
"Georgetown, SC",51911,56852,57180
"Greenville, SC",52076,55755,56653
"Greenwood, SC",41388,43953,43776
"Hampton, SC",37936,40594,40380
"Horry, SC",44013,47592,46995
"Jasper, SC",38895,42070,41144
"Kershaw, SC",46383,51601,52782
"Lancaster, SC",51515,53048,55065
"Laurens, SC",39308,42450,42725
"Lee, SC",37488,41315,40955
"Lexington, SC",52224,55915,57076
"McCormick, SC",42518,44265,46096
"Marion, SC",37566,41176,41108
"Marlboro, SC",34500,38444,37831
"Newberry, SC",42903,46911,47464
"Oconee, SC",48315,53299,54415
"Orangeburg, SC",38634,42145,41090
"Pickens, SC",41165,45228,45835
"Richland, SC",48969,53387,53963
"Saluda, SC",39283,43990,43883
"Spartanburg, SC",47726,52220,52621
"Sumter, SC",42588,46605,46582
"Union, SC",36030,38427,38157
"Williamsburg, SC",36874,39668,38446
"York, SC",51878,56774,58987
"Aurora, SD",47701,54747,58948
"Beadle, SD",51511,56759,58281
"Bennett, SD",40912,44351,48569
"Bon Homme, SD",42858,47770,54418
"Brookings, SD",50774,54831,56045
"Brown, SD",61042,67695,71674
"Brule, SD",51993,60387,64369
"Buffalo, SD",26513,33505,35370
"Butte, SD",43821,46801,47783
"Campbell, SD",67793,82295,81416
"Charles Mix, SD",46046,51013,54004
"Clark, SD",65478,73698,76807
"Clay, SD",40410,44920,48546
"Codington, SD",55496,64240,67583
"Corson, SD",33390,39646,41392
"Custer, SD",56408,61527,62654
"Davison, SD",55051,59766,62232
"Day, SD",61335,67018,71544
"Deuel, SD",61148,66082,65682
"Dewey, SD",50834,54997,54444
"Douglas, SD",61317,68632,73836
"Edmunds, SD",66323,87614,92309
"Fall River, SD",49928,53899,54586
"Faulk, SD",69116,84995,88554
"Grant, SD",57667,65197,70668
"Gregory, SD",52466,57815,60858
"Haakon, SD",71235,73286,78044
"Hamlin, SD",54216,61446,63720
"Hand, SD",66928,81519,85667
"Hanson, SD",68446,74030,78530
"Harding, SD",46341,57502,51414
"Hughes, SD",55545,62042,63992
"Hutchinson, SD",54776,64844,73183
"Hyde, SD",67156,71663,80033
"Jackson, SD",37338,40827,44228
"Jerauld, SD",57534,65770,73021
"Jones, SD",56973,84385,79312
"Kingsbury, SD",66926,72645,74014
"Lake, SD",62687,70245,73379
"Lawrence, SD",57548,66207,67931
"Lincoln, SD",74385,79995,83363
"Lyman, SD",47267,54459,57855
"McCook, SD",58470,67588,73362
"McPherson, SD",58152,70911,72524
"Marshall, SD",74712,71189,74536
"Meade, SD",48892,52087,53401
"Mellette, SD",35882,45277,45401
"Miner, SD",58101,67061,72595
"Minnehaha, SD",64774,69839,71922
"Moody, SD",59321,66348,66475
"Oglala Lakota, SD*",31505,36389,35687
"Pennington, SD",60280,66694,69134
"Perkins, SD",46885,51498,54196
"Potter, SD",76020,77291,84510
"Roberts, SD",45269,50263,52261
"Sanborn, SD",61718,59390,63968
"Spink, SD",71730,81013,86870
"Stanley, SD",64616,77798,82109
"Sully, SD",92149,97675,101788
"Todd, SD",32007,37288,35847
"Tripp, SD",55324,61145,65722
"Turner, SD",55270,65085,70953
"Union, SD",114448,115020,121722
"Walworth, SD",53109,61497,62647
"Yankton, SD",53954,62316,68105
"Ziebach, SD",28178,31942,33700
"Anderson, TN",46708,51064,51436
"Bedford, TN",41161,45761,47337
"Benton, TN",37685,41473,40859
"Bledsoe, TN",30342,34055,34832
"Blount, TN",48265,52513,53332
"Bradley, TN",43229,46415,47123
"Campbell, TN",38958,42248,42051
"Cannon, TN",39992,44121,43976
"Carroll, TN",37516,41212,40544
"Carter, TN",37193,40624,40378
"Cheatham, TN",49323,53463,55260
"Chester, TN",38354,40924,40686
"Claiborne, TN",38886,41767,42082
"Clay, TN",33658,39096,41427
"Cocke, TN",37094,40950,40741
"Coffee, TN",43257,46640,46910
"Crockett, TN",44112,48976,47217
"Cumberland, TN",41290,44560,44540
"Davidson, TN",73177,81145,85551
"Decatur, TN",45738,49092,49250
"DeKalb, TN",44574,48171,48289
"Dickson, TN",46622,50306,51658
"Dyer, TN",46296,51339,50874
"Fayette, TN",64094,71259,73510
"Fentress, TN",37987,41998,41694
"Franklin, TN",42717,46207,46514
"Gibson, TN",42564,46593,46051
"Giles, TN",40340,43778,44637
"Grainger, TN",38037,42480,42408
"Greene, TN",39424,42233,42279
"Grundy, TN",36046,38900,38468
"Hamblen, TN",40942,46418,46766
"Hamilton, TN",56191,59362,60691
"Hancock, TN",30571,33214,31828
"Hardeman, TN",32653,36175,34765
"Hardin, TN",41809,44676,44281
"Hawkins, TN",37851,41291,41134
"Haywood, TN",36314,40537,37528
"Henderson, TN",40722,46066,46223
"Henry, TN",46958,51367,52325
"Hickman, TN",38085,42155,42564
"Houston, TN",36373,39183,39189
"Humphreys, TN",41009,44149,44563
"Jackson, TN",35393,37929,37237
"Jefferson, TN",41046,44665,44816
"Johnson, TN",35469,38619,38528
"Knox, TN",55991,62028,63494
"Lake, TN",26406,32861,30404
"Lauderdale, TN",36415,41322,39705
"Lawrence, TN",38200,41852,42177
"Lewis, TN",39322,41660,41666
"Lincoln, TN",44003,48689,48759
"Loudon, TN",57182,63918,67088
"McMinn, TN",40593,43378,43418
"McNairy, TN",35830,38688,38355
"Macon, TN",35383,39152,39855
"Madison, TN",46767,51864,52286
"Marion, TN",43075,47327,47613
"Marshall, TN",43068,47337,48222
"Maury, TN",47663,51733,52957
"Meigs, TN",37287,39679,39849
"Monroe, TN",38398,42035,41401
"Montgomery, TN",45830,49203,48938
"Moore, TN",45421,47524,48630
"Morgan, TN",34236,37198,36995
"Obion, TN",43945,48908,48988
"Overton, TN",37841,40368,39441
"Perry, TN",35211,37262,35513
"Pickett, TN",42626,41894,41868
"Polk, TN",36703,39928,40771
"Putnam, TN",44256,47897,48280
"Rhea, TN",39648,43419,43403
"Roane, TN",46477,49794,50192
"Robertson, TN",47479,51450,52328
"Rutherford, TN",45965,49876,51672
"Scott, TN",34244,37597,37462
"Sequatchie, TN",41663,45420,46061
"Sevier, TN",44998,51238,52561
"Shelby, TN",53335,58844,58736
"Smith, TN",43693,47245,48048
"Stewart, TN",45593,48851,48646
"Sullivan, TN",46648,50326,51090
"Sumner, TN",54958,59811,62345
"Tipton, TN",44992,49682,48866
"Trousdale, TN",33906,37377,37478
"Unicoi, TN",39382,42610,42425
"Union, TN",36698,40895,40862
"Van Buren, TN",34050,36458,35966
"Warren, TN",38857,42017,41807
"Washington, TN",47932,52468,53392
"Wayne, TN",32988,35675,36538
"Weakley, TN",40290,45338,45738
"White, TN",37583,41579,41483
"Williamson, TN",99108,111083,119937
"Wilson, TN",55070,62361,65138
"Anderson, TX",39154,43172,43870
"Andrews, TX",48757,51683,54323
"Angelina, TX",42940,46996,47281
"Aransas, TX",57014,62258,64072
"Archer, TX",58110,60443,62096
"Armstrong, TX",61888,59930,58556
"Atascosa, TX",42201,46328,45800
"Austin, TX",56360,60773,61630
"Bailey, TX",50811,52162,52520
"Bandera, TX",55187,58537,59272
"Bastrop, TX",39579,43681,44607
"Baylor, TX",55689,57678,60988
"Bee, TX",32726,34810,34707
"Bell, TX",46569,50199,49416
"Bexar, TX",47970,52141,52583
"Blanco, TX",65421,73535,74566
"Borden, TX",69601,97356,115928
"Bosque, TX",47547,51979,52462
"Bowie, TX",45485,49603,50089
"Brazoria, TX",53110,56561,57644
"Brazos, TX",43706,46708,47576
"Brewster, TX",50758,57357,58166
"Briscoe, TX",45612,62395,54793
"Brooks, TX",40074,42697,42727
"Brown, TX",43177,46510,46833
"Burleson, TX",52002,55125,55784
"Burnet, TX",56988,63580,64561
"Caldwell, TX",37542,40204,40393
"Calhoun, TX",59787,64039,66526
"Callahan, TX",48866,49893,50812
"Cameron, TX",33704,38001,37325
"Camp, TX",44912,48478,50195
"Carson, TX",47460,56869,47777
"Cass, TX",43615,46496,47273
"Castro, TX",78962,84491,86577
"Chambers, TX",57543,60342,61694
"Cherokee, TX",40554,43459,43397
"Childress, TX",35688,39620,44097
"Clay, TX",48848,52563,52317
"Cochran, TX",42496,56713,40047
"Coke, TX",49756,50657,51161
"Coleman, TX",51288,56792,57256
"Collin, TX",72105,78591,82593
"Collingsworth, TX",47506,54313,46489
"Colorado, TX",55645,61752,61594
"Comal, TX",66119,72193,75074
"Comanche, TX",47991,50164,53063
"Concho, TX",35459,38290,37247
"Cooke, TX",54196,58955,61073
"Coryell, TX",35066,37621,36504
"Cottle, TX",59974,68457,87359
"Crane, TX",47379,49943,53228
"Crockett, TX",59564,60362,62104
"Crosby, TX",45041,53018,44883
"Culberson, TX",65571,70000,82056
"Dallam, TX",70666,70237,69968
"Dallas, TX",66044,72668,75585
"Dawson, TX",43918,46946,48456
"Deaf Smith, TX",57206,62075,65927
"Delta, TX",43785,47015,46433
"Denton, TX",64582,71210,74412
"DeWitt, TX",58322,67354,71119
"Dickens, TX",46042,48896,47900
"Dimmit, TX",50405,52710,53857
"Donley, TX",46749,47498,46854
"Duval, TX",45067,47811,47149
"Eastland, TX",54083,53662,55905
"Ector, TX",48111,52703,55448
"Edwards, TX",72083,70578,66179
"Ellis, TX",49860,54057,55479
"El Paso, TX",40186,44118,44198
"Erath, TX",45726,48295,50567
"Falls, TX",39816,42966,42198
"Fannin, TX",43343,46923,47129
"Fayette, TX",62179,69185,70239
"Fisher, TX",49344,57105,53908
"Floyd, TX",43920,53180,45025
"Foard, TX",55787,61691,69100
"Fort Bend, TX",63655,67436,70390
"Franklin, TX",47590,51396,57593
"Freestone, TX",40900,44800,44999
"Frio, TX",35350,38827,37455
"Gaines, TX",46496,48319,46925
"Galveston, TX",56203,59671,61246
"Garza, TX",31475,32543,32823
"Gillespie, TX",77886,81855,84525
"Glasscock, TX",110024,125020,122894
"Goliad, TX",52791,56184,57304
"Gonzales, TX",50846,57880,66727
"Gray, TX",45822,46404,46626
"Grayson, TX",48865,52873,53393
"Gregg, TX",50722,54584,55961
"Grimes, TX",40137,43056,42212
"Guadalupe, TX",49507,53556,53788
"Hale, TX",39342,42482,41725
"Hall, TX",38826,49651,39174
"Hamilton, TX",64596,62424,64110
"Hansford, TX",69987,77853,78201
"Hardeman, TX",50670,53464,56738
"Hardin, TX",51383,53392,54635
"Harris, TX",59099,66140,69154
"Harrison, TX",44622,47757,48480
"Hartley, TX",81718,82805,89126
"Haskell, TX",48248,53258,50550
"Hays, TX",52159,57467,60097
"Hemphill, TX",70584,70226,74044
"Henderson, TX",45327,48619,49177
"Hidalgo, TX",31310,34614,33525
"Hill, TX",45671,49614,49859
"Hockley, TX",46852,50008,48167
"Hood, TX",58990,62066,63641
"Hopkins, TX",45929,50455,53470
"Houston, TX",45398,49612,50323
"Howard, TX",48420,53212,56531
"Hudspeth, TX",36475,37386,35317
"Hunt, TX",44183,47619,47938
"Hutchinson, TX",45833,48035,47553
"Irion, TX",70968,75708,80335
"Jack, TX",42606,46142,46241
"Jackson, TX",48159,51585,48635
"Jasper, TX",46945,50477,51346
"Jeff Davis, TX",53345,58390,59491
"Jefferson, TX",45227,47792,48131
"Jim Hogg, TX",37860,41533,40561
"Jim Wells, TX",44567,48106,48093
"Johnson, TX",48150,51845,52837
"Jones, TX",35654,39341,39944
"Karnes, TX",62728,77707,81179
"Kaufman, TX",47174,50826,52659
"Kendall, TX",102177,102056,106508
"Kenedy, TX",49464,41424,38232
"Kent, TX",49520,55115,63719
"Kerr, TX",58308,62829,64198
"Kimble, TX",50216,55154,54393
"King, TX",82906,87145,113494
"Kinney, TX",39836,41530,40805
"Kleberg, TX",41018,45409,45342
"Knox, TX",48131,51290,51914
"Lamar, TX",46823,51267,51725
"Lamb, TX",50438,54245,55408
"Lampasas, TX",55601,60110,59799
"La Salle, TX",44009,49123,51175
"Lavaca, TX",59998,63657,65573
"Lee, TX",55117,58043,57356
"Leon, TX",49205,54423,56807
"Liberty, TX",40350,41917,42422
"Limestone, TX",43080,47639,46998
"Lipscomb, TX",96425,108653,116640
"Live Oak, TX",43057,46342,46246
"Llano, TX",56195,62609,64044
"Loving, TX",108092,123456,141373
"Lubbock, TX",48140,51876,52437
"Lynn, TX",43486,59918,50883
"McCulloch, TX",43494,47871,47915
"McLennan, TX",45756,49932,50284
"McMullen, TX",80793,107174,118594
"Madison, TX",37461,41268,41086
"Marion, TX",44415,48523,49638
"Martin, TX",82164,91729,98858
"Mason, TX",54643,56246,54945
"Matagorda, TX",47632,51024,50360
"Maverick, TX",35612,38647,38524
"Medina, TX",46478,50021,50032
"Menard, TX",47392,47602,46018
"Midland, TX",106959,124672,145089
"Milam, TX",41269,46159,46561
"Mills, TX",50337,52391,51682
"Mitchell, TX",33860,36833,37064
"Montague, TX",43696,47049,46232
"Montgomery, TX",68909,71933,76043
"Moore, TX",50518,55718,58176
"Morris, TX",44245,47308,49265
"Motley, TX",40468,38819,40718
"Nacogdoches, TX",42111,46195,48815
"Navarro, TX",41794,45353,45130
"Newton, TX",40983,43218,43629
"Nolan, TX",46611,52478,51887
"Nueces, TX",48777,54159,55720
"Ochiltree, TX",54218,62826,60268
"Oldham, TX",70930,74449,76667
"Orange, TX",47175,49472,50170
"Palo Pinto, TX",47443,51733,51742
"Panola, TX",48618,53383,56986
"Parker, TX",61523,67169,69926
"Parmer, TX",58081,64238,67989
"Pecos, TX",40086,43092,44746
"Polk, TX",45282,48165,47150
"Potter, TX",50672,55586,56298
"Presidio, TX",54319,58195,57437
"Rains, TX",39597,41894,41104
"Randall, TX",53164,56767,57896
"Reagan, TX",55752,61215,65247
"Real, TX",54151,57304,57873
"Red River, TX",48432,52208,53452
"Reeves, TX",47834,57562,61533
"Refugio, TX",48868,54376,54380
"Roberts, TX",52878,54883,54010
"Robertson, TX",48082,52179,53842
"Rockwall, TX",68067,71774,75860
"Runnels, TX",47035,50917,51902
"Rusk, TX",42480,44326,45701
"Sabine, TX",41763,46167,46247
"San Augustine, TX",45981,51754,57147
"San Jacinto, TX",42099,44957,44653
"San Patricio, TX",48088,51096,50872
"San Saba, TX",43148,43304,42336
"Schleicher, TX",51491,52201,55694
"Scurry, TX",45003,46933,48508
"Shackelford, TX",84296,99776,105536
"Shelby, TX",48508,55952,65464
"Sherman, TX",101691,127917,103517
"Smith, TX",55450,63074,66784
"Somervell, TX",52019,56820,58361
"Starr, TX",30393,33336,31643
"Stephens, TX",44096,46027,46860
"Sterling, TX",60295,64415,66779
"Stonewall, TX",74359,86199,88796
"Sutton, TX",67518,68815,69018
"Swisher, TX",60225,72194,71381
"Tarrant, TX",53863,60489,61962
"Taylor, TX",49851,54611,55572
"Terrell, TX",55032,58526,60140
"Terry, TX",42231,45150,43143
"Throckmorton, TX",45123,66334,46683
"Titus, TX",42403,48252,51901
"Tom Green, TX",55966,60826,63022
"Travis, TX",72771,82012,85930
"Trinity, TX",43908,46329,46390
"Tyler, TX",39647,43240,42946
"Upshur, TX",41057,44285,45279
"Upton, TX",55649,62686,71755
"Uvalde, TX",48304,53242,52767
"Val Verde, TX",42826,47393,47904
"Van Zandt, TX",42250,45400,45722
"Victoria, TX",53497,57490,59030
"Walker, TX",31270,33637,33631
"Waller, TX",47528,50441,51670
"Ward, TX",49012,54995,58879
"Washington, TX",61115,70320,73301
"Webb, TX",37015,41051,40873
"Wharton, TX",48622,53381,51481
"Wheeler, TX",46679,48644,47189
"Wichita, TX",47084,50339,50979
"Wilbarger, TX",55374,55610,56057
"Willacy, TX",32989,37424,34925
"Williamson, TX",57774,63679,67083
"Wilson, TX",51867,56138,56660
"Winkler, TX",59453,62196,67488
"Wise, TX",50815,54460,55410
"Wood, TX",44893,47784,48899
"Yoakum, TX",47894,49937,49438
"Young, TX",54030,60276,63031
"Zapata, TX",29864,33132,33076
"Zavala, TX",39470,42985,43549
"Beaver, UT",39979,44453,47664
"Box Elder, UT",41826,44844,46425
"Cache, UT",43024,48424,48469
"Carbon, UT",43193,45530,45308
"Daggett, UT",49489,49178,46786
"Davis, UT",50348,55832,58147
"Duchesne, UT",41488,44453,45820
"Emery, UT",38448,38943,39565
"Garfield, UT",42745,50778,55775
"Grand, UT",61995,67136,69962
"Iron, UT",36491,39157,39616
"Juab, UT",43862,47768,49197
"Kane, UT",46337,51988,51164
"Millard, UT",40580,44325,47223
"Morgan, UT",60155,64614,68196
"Piute, UT",48292,47928,65332
"Rich, UT",42525,44091,45226
"Salt Lake, UT",57292,63558,66326
"San Juan, UT",32504,34247,35597
"Sanpete, UT",36828,39845,42023
"Sevier, UT",39552,42438,43272
"Summit, UT",164349,205410,225996
"Tooele, UT",41853,44851,46657
"Uintah, UT",33216,35348,36463
"Utah, UT",47183,51103,53812
"Wasatch, UT",68334,76488,82840
"Washington, UT",45360,49425,50746
"Wayne, UT",48926,50133,50646
"Weber, UT",46020,49498,51138
"Addison, VT",55761,59842,62065
"Bennington, VT",55683,58412,60136
"Caledonia, VT",47803,50256,50508
"Chittenden, VT",63772,67969,70571
"Essex, VT",43793,45679,45397
"Franklin, VT",52041,54588,55989
"Grand Isle, VT",64887,68680,71245
"Lamoille, VT",57739,61461,64041
"Orange, VT",52909,55304,56029
"Orleans, VT",49897,52213,53215
"Rutland, VT",54826,56441,58596
"Washington, VT",64276,67021,69232
"Windham, VT",53101,55590,56923
"Windsor, VT",62220,66958,67971
"Accomack, VA",50924,56453,54153
"Amelia, VA",46030,50324,52977
"Amherst, VA",40998,44049,44723
"Appomattox, VA",41929,45438,45951
"Arlington, VA",97751,108980,112313
"Bath, VA",69736,69468,74728
"Bedford, VA*",50096,53650,54837
"Bland, VA",39111,42162,42629
"Botetourt, VA",55106,57273,59504
"Brunswick, VA",36672,40267,41082
"Buchanan, VA",39621,43165,45289
"Buckingham, VA",33515,37026,37877
"Caroline, VA",47241,50548,51500
"Charles City, VA",54205,56703,57151
"Charlotte, VA",39367,44074,45263
"Chesterfield, VA",58219,62033,64035
"Clarke, VA",69063,75346,77961
"Craig, VA",42970,46315,47392
"Culpeper, VA",51440,54266,55962
"Cumberland, VA",40805,45265,46446
"Dickenson, VA",37129,40480,41038
"Essex, VA",47869,51462,51690
"Fauquier, VA",74288,79392,82872
"Floyd, VA",43639,47556,48912
"Fluvanna, VA",48349,52434,53333
"Franklin, VA",47157,50783,52577
"Giles, VA",42845,48074,49522
"Gloucester, VA",52246,56313,57498
"Goochland, VA",99944,110612,116296
"Grayson, VA",35067,37923,38942
"Greene, VA",46174,50185,51629
"Halifax, VA",39536,43237,44509
"Hanover, VA",65092,69263,72302
"Henrico, VA",69268,74225,76976
"Highland, VA",44320,48161,50481
"Isle of Wight, VA",57943,62139,63847
"King and Queen, VA",51156,54839,55304
"King George, VA",58946,62938,64018
"King William, VA",49700,53554,54612
"Lancaster, VA",64049,69654,72524
"Lee, VA",34875,37809,38552
"Loudoun, VA",85393,92163,96862
"Louisa, VA",46650,50390,50730
"Lunenburg, VA",36381,39493,38986
"Madison, VA",51376,55251,56535
"Mathews, VA",61846,65601,67870
"Mecklenburg, VA",41327,46240,45526
"Middlesex, VA",55313,58916,60298
"Nelson, VA",57271,62809,64673
"New Kent, VA",88570,96350,102849
"Northampton, VA",59493,66944,64220
"Northumberland, VA",59113,62129,61421
"Nottoway, VA",37003,42482,44913
"Orange, VA",55580,59065,58942
"Page, VA",41945,46386,49085
"Patrick, VA",36305,39098,40272
"Powhatan, VA",60942,64880,67908
"Prince Edward, VA",35765,38914,39525
"Pulaski, VA",42545,46473,48108
"Rappahannock, VA",70931,76658,79425
"Richmond, VA",41905,43849,42685
"Russell, VA",37054,39578,40218
"Scott, VA",35773,38845,39605
"Shenandoah, VA",49287,54485,56745
"Smyth, VA",40203,43209,44461
"Stafford, VA",59185,62717,65233
"Surry, VA",46414,51886,52428
"Sussex, VA",34627,38068,37755
"Tazewell, VA",40281,42923,43986
"Warren, VA",50951,54916,56144
"Westmoreland, VA",48096,50698,50626
"Wythe, VA",39530,43121,44566
"Alexandria (Independent City), VA",91012,103831,105239
"Chesapeake (Independent City), VA",53172,57176,58478
"Hampton (Independent City), VA",45149,48577,48525
"Newport News (Independent City), VA",43197,46919,46873
"Norfolk (Independent City), VA",41955,46919,47898
"Portsmouth (Independent City), VA",43042,45825,46025
"Richmond (Independent City), VA",62602,68799,71174
"Roanoke (Independent City), VA",45563,49714,50807
"Suffolk (Independent City), VA",54783,59366,60770
"Virginia Beach (Independent City), VA",59597,64454,65986
"Albemarle + Charlottesville, VA*",75998,88287,91201
"Alleghany + Covington, VA*",41854,44968,46250
"Augusta, Staunton + Waynesboro, VA*",47467,51192,52910
"Campbell + Lynchburg, VA*",41668,44800,45413
"Carroll + Galax, VA*",40288,43267,44770
"Dinwiddie, Colonial Heights + Petersburg, VA*",43022,46035,45870
"Fairfax, Fairfax City + Falls Church, VA*",88291,97278,101400
"Frederick + Winchester, VA*",55344,60095,62259
"Greensville + Emporia, VA*",35051,39039,39233
"Henry + Martinsville, VA*",41842,45512,47455
"James City + Williamsburg, VA*",67364,73332,75891
"Montgomery + Radford, VA*",40112,43739,45379
"Pittsylvania + Danville, VA*",40604,43930,44986
"Prince George + Hopewell, VA*",37703,39464,39733
"Prince William, Manassas + Manassas Park, VA*",58552,62083,63701
"Roanoke + Salem, VA*",53180,57071,59109
"Rockbridge, Buena Vista + Lexington, VA*",43625,46574,48356
"Rockingham + Harrisonburg, VA*",43349,48056,51466
"Southampton + Franklin, VA*",45518,49029,50266
"Spotsylvania + Fredericksburg, VA*",56272,60595,62617
"Washington + Bristol, VA*",42738,45963,46706
"Wise + Norton, VA*",37115,40444,41103
"York + Poquoson, VA*",61149,65791,67917
"Adams, WA",43788,47196,47933
"Asotin, WA",49729,53209,54340
"Benton, WA",50724,54663,54454
"Chelan, WA",57951,62422,62685
"Clallam, WA",50927,55026,55566
"Clark, WA",57827,63923,65522
"Columbia, WA",58030,60341,62566
"Cowlitz, WA",49999,54131,54630
"Douglas, WA",45851,49319,49114
"Ferry, WA",43440,46528,44144
"Franklin, WA",42484,46781,46072
"Garfield, WA",55960,56136,58112
"Grant, WA",45301,48927,48963
"Grays Harbor, WA",43766,47304,46878
"Island, WA",59211,63973,65564
"Jefferson, WA",56431,61489,62898
"King, WA",99372,111117,113819
"Kitsap, WA",62192,66919,68198
"Kittitas, WA",50834,55250,55076
"Klickitat, WA",51544,54250,53305
"Lewis, WA",48860,51688,52769
"Lincoln, WA",50818,53383,51953
"Mason, WA",47670,51104,51375
"Okanogan, WA",46649,50688,49552
"Pacific, WA",43984,47323,46498
"Pend Oreille, WA",46684,49572,48892
"Pierce, WA",55533,59466,59986
"San Juan, WA",81257,84969,89744
"Skagit, WA",57890,62412,62915
"Skamania, WA",56122,61570,62472
"Snohomish, WA",62805,67885,69010
"Spokane, WA",49083,54474,54223
"Stevens, WA",42694,47157,46750
"Thurston, WA",54831,59001,59697
"Wahkiakum, WA",48913,49604,50372
"Walla Walla, WA",49569,54897,55436
"Whatcom, WA",53867,58581,58993
"Whitman, WA",44263,51235,46672
"Yakima, WA",45996,49637,49266
"Barbour, WV",38272,40850,40399
"Berkeley, WV",47706,51249,52264
"Boone, WV",37561,41306,41275
"Braxton, WV",39213,40732,40079
"Brooke, WV",44893,49183,50324
"Cabell, WV",46125,49977,51125
"Calhoun, WV",38866,41735,40741
"Clay, WV",36085,38819,38450
"Doddridge, WV",34487,37305,39087
"Fayette, WV",40368,44327,44814
"Gilmer, WV",33347,35155,35411
"Grant, WV",42169,45794,46333
"Greenbrier, WV",43919,47207,47304
"Hampshire, WV",41686,45450,46303
"Hancock, WV",45903,50108,50824
"Hardy, WV",35778,40786,43795
"Harrison, WV",52777,57617,59058
"Jackson, WV",42303,45039,45467
"Jefferson, WV",56828,61633,63434
"Kanawha, WV",51353,55950,57174
"Lewis, WV",40809,43661,43632
"Lincoln, WV",33884,36733,36763
"Logan, WV",38968,42251,42308
"McDowell, WV",30972,33979,34283
"Marion, WV",45524,48983,48998
"Marshall, WV",42645,47095,48766
"Mason, WV",38848,42060,42115
"Mercer, WV",41342,44605,44763
"Mineral, WV",46579,49460,48818
"Mingo, WV",33906,36541,36646
"Monongalia, WV",49914,54245,55218
"Monroe, WV",37942,40916,40382
"Morgan, WV",41577,45602,45105
"Nicholas, WV",37945,40452,40599
"Ohio, WV",56802,64371,66701
"Pendleton, WV",45045,50217,54365
"Pleasants, WV",45294,48406,49208
"Pocahontas, WV",48098,51038,50751
"Preston, WV",39580,42639,42407
"Putnam, WV",49979,53968,55827
"Raleigh, WV",43723,47566,48285
"Randolph, WV",42358,45660,45636
"Ritchie, WV",48135,52021,54852
"Roane, WV",36853,39228,39056
"Summers, WV",39487,42791,43026
"Taylor, WV",44533,48851,49161
"Tucker, WV",47843,53215,55157
"Tyler, WV",44416,50394,56445
"Upshur, WV",38304,40959,41230
"Wayne, WV",38047,40917,41922
"Webster, WV",33084,33543,32597
"Wetzel, WV",39966,43917,45280
"Wirt, WV",37555,40977,39663
"Wood, WV",48300,55537,58325
"Wyoming, WV",31846,34573,35181
"Adams, WI",43993,46112,44696
"Ashland, WI",43573,46557,46014
"Barron, WI",54519,56928,58029
